Row,Field,Value,Error Message
5,volume,"""01-02-03""","Invalid input: expected number, received NaN"
6,volume,"""13-14""","Invalid input: expected number, received NaN"
11,author,,"Invalid input: expected string, received undefined"
12,author,,"Invalid input: expected string, received undefined"
13,author,,"Invalid input: expected string, received undefined"
34,author,,"Invalid input: expected string, received undefined"
35,author,,"Invalid input: expected string, received undefined"
92,author,,"Invalid input: expected string, received undefined"
93,author,,"Invalid input: expected string, received undefined"
94,author,,"Invalid input: expected string, received undefined"
95,author,,"Invalid input: expected string, received undefined"
96,author,,"Invalid input: expected string, received undefined"
97,author,,"Invalid input: expected string, received undefined"
98,author,,"Invalid input: expected string, received undefined"
99,author,,"Invalid input: expected string, received undefined"
100,author,,"Invalid input: expected string, received undefined"
101,author,,"Invalid input: expected string, received undefined"
102,author,,"Invalid input: expected string, received undefined"
103,author,,"Invalid input: expected string, received undefined"
170,author,,"Invalid input: expected string, received undefined"
188,author,,"Invalid input: expected string, received undefined"
189,author,,"Invalid input: expected string, received undefined"
235,author,,"Invalid input: expected string, received undefined"
237,author,,"Invalid input: expected string, received undefined"
238,author,,"Invalid input: expected string, received undefined"
239,author,,"Invalid input: expected string, received undefined"
240,author,,"Invalid input: expected string, received undefined"
241,author,,"Invalid input: expected string, received undefined"
242,author,,"Invalid input: expected string, received undefined"
243,author,,"Invalid input: expected string, received undefined"
244,author,,"Invalid input: expected string, received undefined"
245,author,,"Invalid input: expected string, received undefined"
246,author,,"Invalid input: expected string, received undefined"
252,author,,"Invalid input: expected string, received undefined"
258,author,,"Invalid input: expected string, received undefined"
265,author,,"Invalid input: expected string, received undefined"
275,author,,"Invalid input: expected string, received undefined"
276,author,,"Invalid input: expected string, received undefined"
282,author,,"Invalid input: expected string, received undefined"
283,author,,"Invalid input: expected string, received undefined"
284,author,,"Invalid input: expected string, received undefined"
287,author,,"Invalid input: expected string, received undefined"
288,author,,"Invalid input: expected string, received undefined"
289,author,,"Invalid input: expected string, received undefined"
291,author,,"Invalid input: expected string, received undefined"
292,author,,"Invalid input: expected string, received undefined"
293,author,,"Invalid input: expected string, received undefined"
294,author,,"Invalid input: expected string, received undefined"
299,author,,"Invalid input: expected string, received undefined"
304,author,,"Invalid input: expected string, received undefined"
305,author,,"Invalid input: expected string, received undefined"
306,author,,"Invalid input: expected string, received undefined"
307,author,,"Invalid input: expected string, received undefined"
308,author,,"Invalid input: expected string, received undefined"
309,author,,"Invalid input: expected string, received undefined"
319,author,,"Invalid input: expected string, received undefined"
320,author,,"Invalid input: expected string, received undefined"
322,author,,"Invalid input: expected string, received undefined"
324,author,,"Invalid input: expected string, received undefined"
325,author,,"Invalid input: expected string, received undefined"
326,author,,"Invalid input: expected string, received undefined"
339,author,,"Invalid input: expected string, received undefined"
340,author,,"Invalid input: expected string, received undefined"
343,author,,"Invalid input: expected string, received undefined"
344,author,,"Invalid input: expected string, received undefined"
345,author,,"Invalid input: expected string, received undefined"
346,author,,"Invalid input: expected string, received undefined"
347,author,,"Invalid input: expected string, received undefined"
348,author,,"Invalid input: expected string, received undefined"
349,author,,"Invalid input: expected string, received undefined"
350,author,,"Invalid input: expected string, received undefined"
351,author,,"Invalid input: expected string, received undefined"
353,author,,"Invalid input: expected string, received undefined"
360,author,,"Invalid input: expected string, received undefined"
381,author,,"Invalid input: expected string, received undefined"
382,author,,"Invalid input: expected string, received undefined"
383,author,,"Invalid input: expected string, received undefined"
384,author,,"Invalid input: expected string, received undefined"
385,author,,"Invalid input: expected string, received undefined"
386,author,,"Invalid input: expected string, received undefined"
387,author,,"Invalid input: expected string, received undefined"
389,author,,"Invalid input: expected string, received undefined"
390,author,,"Invalid input: expected string, received undefined"
391,author,,"Invalid input: expected string, received undefined"
392,author,,"Invalid input: expected string, received undefined"
393,author,,"Invalid input: expected string, received undefined"
395,author,,"Invalid input: expected string, received undefined"
396,author,,"Invalid input: expected string, received undefined"
397,author,,"Invalid input: expected string, received undefined"
399,author,,"Invalid input: expected string, received undefined"
400,author,,"Invalid input: expected string, received undefined"
401,author,,"Invalid input: expected string, received undefined"
402,author,,"Invalid input: expected string, received undefined"
403,author,,"Invalid input: expected string, received undefined"
406,author,,"Invalid input: expected string, received undefined"
407,year,"""1898""",Too small: expected number to be >=1900
407,author,,"Invalid input: expected string, received undefined"
409,year,"""1880""",Too small: expected number to be >=1900
410,year,"""1864""",Too small: expected number to be >=1900
410,author,,"Invalid input: expected string, received undefined"
411,author,,"Invalid input: expected string, received undefined"
412,author,,"Invalid input: expected string, received undefined"
413,author,,"Invalid input: expected string, received undefined"
414,author,,"Invalid input: expected string, received undefined"
415,author,,"Invalid input: expected string, received undefined"
416,author,,"Invalid input: expected string, received undefined"
417,author,,"Invalid input: expected string, received undefined"
418,author,,"Invalid input: expected string, received undefined"
419,author,,"Invalid input: expected string, received undefined"
420,author,,"Invalid input: expected string, received undefined"
421,author,,"Invalid input: expected string, received undefined"
422,author,,"Invalid input: expected string, received undefined"
423,author,,"Invalid input: expected string, received undefined"
424,author,,"Invalid input: expected string, received undefined"
425,author,,"Invalid input: expected string, received undefined"
426,author,,"Invalid input: expected string, received undefined"
427,author,,"Invalid input: expected string, received undefined"
428,author,,"Invalid input: expected string, received undefined"
429,author,,"Invalid input: expected string, received undefined"
430,author,,"Invalid input: expected string, received undefined"
431,author,,"Invalid input: expected string, received undefined"
435,author,,"Invalid input: expected string, received undefined"
436,author,,"Invalid input: expected string, received undefined"
441,author,,"Invalid input: expected string, received undefined"
443,author,,"Invalid input: expected string, received undefined"
444,author,,"Invalid input: expected string, received undefined"
445,author,,"Invalid input: expected string, received undefined"
446,author,,"Invalid input: expected string, received undefined"
447,author,,"Invalid input: expected string, received undefined"
450,author,,"Invalid input: expected string, received undefined"
454,year,"""1845""",Too small: expected number to be >=1900
458,author,,"Invalid input: expected string, received undefined"
459,year,"""1825""",Too small: expected number to be >=1900
462,author,,"Invalid input: expected string, received undefined"
469,author,,"Invalid input: expected string, received undefined"
