Row,Field,Value,Error Message
2,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
3,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
4,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
5,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
6,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
8,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
10,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
12,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
13,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
19,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
20,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
21,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
22,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
23,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
24,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
25,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
26,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
27,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
29,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
30,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
31,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
32,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
33,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
34,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
35,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
36,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
37,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
38,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
39,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
43,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
44,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
56,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
59,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
70,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
71,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
72,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
73,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
74,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
76,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
77,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
78,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
79,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
80,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
81,year,"""N/A""","Invalid input: expected number, received NaN"
81,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
82,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
84,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
85,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
86,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
87,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
88,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
89,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
90,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
91,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
92,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
94,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
96,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
97,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
98,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
99,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
100,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
101,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
102,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
103,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
104,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
105,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
106,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
107,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
108,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
109,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
110,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
111,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
112,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
113,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
116,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
117,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
118,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
119,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
120,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
156,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
158,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
161,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
164,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
166,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
173,year,"""Unknown""","Invalid input: expected number, received NaN"
173,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
174,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
